Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Dai, Xiaoling; Grundy, John; ",Architecture of a micro-payment system for thin-client web applications,2002 International Conference on Internet Computing (IC 2002),,,24-27,2002,
"Grundy, John; Wang, Xing; Hosking, John; ","Building multi-device, component-based, thin-client groupware: issues and experiences",Australian Computer Science Communications,24,4,71-80,2002,"Australian Computer Society, Inc."
"Singh, Santokh; Grundy, John; Hosking, John; ",Developing .NET web service-based applications with aspect-oriented component engineering,5th Australasian Workshop on Software and System Architectures (AWSA 2004),,,,2004,
"Grundy, John C; Hosking, John G; ",Constructing multi-view editing environments using MViews,1993 IEEE Symposium on Visual Languages (VL'93),,,220-224,1993,IEEE
"Grundy, John; Hosking, John; ",SoftArch: Tool support for integrated software architecture development,International Journal of Software Engineering and Knowledge Engineering,13,02,125-151,2003,World Scientific Publishing Company
"Venable, John; Grundy, John; ",Integrating and supporting entity relationship and object role models,1995 Conference on Entity-Relationship Modeling (ER'95).,,,318-328,1995,Springer Berlin/Heidelberg
"Zhu, Nianping; Grundy, John; Hosking, John; Liu, Na; Cao, Shuping; Mehra, Akhil; ",Pounamu: A meta-tool for exploratory domain-specific visual language tool development,Journal of Systems and Software,80,8,1390-1407,2007,Elsevier
"Grundy, John; Hosking, John; ",Supporting generic sketching-based input of diagrams in a domain-specific visual language meta-tool,29th International Conference on Software Engineering (ICSE 2007).,,,282-291,2007,IEEE
"Grundy, John; Hosking, John; ",Software tools,"Wiley Encyclopedia of Software Engineering, 2nd Edition",,,,2001,"John Wiley & Sons, Inc."
"Bossung, Sebastian; Stoeckle, Hermann; Grundy, John; Amor, Robert; Hosking, John; ",Automated data mapping specification via schema heuristics and user interaction,19th International Conference on Automated Software Engineering (ASE 2004),,,208-217,2004,IEEE
"Grundy, John; Yang, Biao; ","An environment for developing adaptive, multi-device user interfaces",4th Australasian user interface conference on User interfaces (AUIC'2003),,,47-56,2003,"Australian Computer Society, Inc."
"Liu, Na; Grundy, John; Hosking, John; ",A visual language and environment for composing web services,20th IEEE/ACM international Conference on Automated software engineering (ASE 2005),,,321-324,2005,ACM
"Grundy, John; Mugridge, Rick; Hosking, John; Kendall, Paul; ",Generating EDI message translations from visual specifications,16th Annual International Conference on Automated Software Engineering (ASE 2001),,,35-42,2001,IEEE
"Hirsch, Christian; Hosking, John; Grundy, John; Chaffe, Tim; MacDonald, David; Halytskyy, Yuriy; ",The Visual Wiki: A new metaphor for knowledge access and management,42nd Hawaii International Conference on System Sciences (HICSS'2009).,,,1-10,2009,IEEE
"Grundy, John C; Hosking, John G; Mugridge, Warwick B; ",Low-level and high-level CSCW support in the Serendipity process modelling environment,Sixth Australian Conference on Computer-Human Interaction (OZCHI 1996),,,69-76,1996,IEEE
"Dai, Xiaoling; Grundy, John; Lo, Bruce WN; ",Comparing and contrasting micro-payment models for E-commerce systems,International Conferences on Info-tech and Info-net (ICII 2001),6,,35-41 vol. 6,2001,IEEE
"Grundy, John; Ding, Guoliang; ",Automatic validation of deployed J2EE components using aspects,17th IEEE International Conference on Automated Software Engineering (ASE 2002),,,47-56,2002,IEEE
"Grundy, John C; ","Engineering component-based, user-configurable collaborative editing systems",IFIP TC2/TC13 WG2 Conference on Engineering for Computer-Human Interaction (ECHI 1998),7,,111-128,1998,
"Grundy, John; Ding, Guoliang; Hosking, John; ",Deployed software component testing using dynamic validation agents,Journal of Systems and Software,74,1,5-14,2005,Elsevier
"Cai, Yuhong; Grundy, John; Hosking, John; ",Experiences Integrating and Scaling a Performance Test Bed Generator with an Open Source CASE Tool,19th International Conference on Automated Software Engineering (ASE 2004),,,36-45,2004,IEEE
